ID,Name,Sex,Age,NOC,Games,Year,Season,City,Sport,Event,Medal,BMI,discretized_Year
1534,Brett Aitken,1,0.3500000000000001,3,0,0.0,0,6,13,138,2,0.22065118308614884,0
1540,Artur Surenovych Aivazian,1,0.5,91,4,0.5,0,1,33,276,2,0.3915995345652443,1
1546,Eirini Andili,0,0.050000000000000044,33,0,0.0,0,6,29,236,0,0.0708536859474469,0
1551,"Oluwafemi ""Junior"" Ajayi",1,0.125,61,8,1.0,0,3,18,185,0,0.35442655198770245,2
1554,Omar Ajete Iglesias,1,0.5,19,0,0.0,0,6,4,63,1,0.4527337011397695,0
1556,"Ebenezer Oluwafemi ""Femi"" Ajilore",1,0.20000000000000007,61,4,0.5,0,1,18,185,1,0.22590338172140312,1
1561,Mobolade Abimbola Ajomale,1,0.125,12,8,1.0,0,3,2,20,0,0.1513623885828883,2
1634,Taha Akgl,1,0.25,89,8,1.0,0,3,50,401,2,0.547749830138135,2
1639,Albina Khamitovna Akhatova,0,0.25,74,1,0.125,1,4,7,78,0,0.2143806482866033,0
1639,Albina Khamitovna Akhatova,0,0.3500000000000001,74,3,0.375,1,7,7,74,0,0.2143806482866033,1
1639,Albina Khamitovna Akhatova,0,0.3500000000000001,74,3,0.375,1,7,7,76,0,0.2143806482866033,1
1639,Albina Khamitovna Akhatova,0,0.3500000000000001,74,3,0.375,1,7,7,77,2,0.2143806482866033,1
1647,Murodzhon Kakharovich Akhmadaliyev,1,0.15000000000000002,93,8,1.0,0,3,9,83,0,0.1898276212440323,2
1649,Artur Kamilevich Akhmatkhuzin,1,0.32500000000000007,74,8,1.0,0,3,16,170,2,0.24408600802135172,2
1650,Bakhtiyar Shakhabutdinovich Akhmedov,1,0.15000000000000002,74,4,0.5,0,1,50,401,1,0.5298411517145101,1
1682,Morolake Akinosun,0,0.17500000000000004,92,8,1.0,0,3,2,43,2,0.2539509932870314,2
1683,Foluke Antinuke Akinradewo,0,0.2250000000000001,92,6,0.75,0,2,47,372,1,0.21896185883878339,2
1683,Foluke Antinuke Akinradewo,0,0.32500000000000007,92,8,1.0,0,3,47,372,0,0.21896185883878339,2
1698,Khadzhimurat Magomedovich Akkayev,1,0.10000000000000003,74,2,0.25,0,0,49,380,1,0.5271245636924156,0
1698,Khadzhimurat Magomedovich Akkayev,1,0.20000000000000007,74,4,0.5,0,1,49,380,0,0.5271245636924156,1
1700,Marina Dazmirovna Akobiya,0,0.25,74,0,0.0,0,6,48,374,0,0.19968348157001936,0
1716,Daniel Akpeyi,1,0.375,61,8,1.0,0,3,18,185,0,0.25175925567999213,2
1730,Monica Aksamit,0,0.275,92,8,1.0,0,3,16,177,0,0.23081380309953425,2
1762,Naser Al Shami,1,0.17500000000000004,82,2,0.25,0,0,9,86,0,0.25943250333863255,0
1809,Nasser Salih Nasser Abdullah Al-Attiya,1,0.6500000000000001,71,6,0.75,0,2,33,275,0,0.33234191820494796,2
1858,Fehaid Al-Deehani,1,0.45000000000000007,51,0,0.0,0,6,33,271,0,0.442436456958734,0
1858,Fehaid Al-Deehani,1,0.75,51,6,0.75,0,2,33,278,0,0.442436456958734,2
1858,Fehaid Al-Deehani,1,0.8500000000000001,38,8,1.0,0,3,33,271,2,0.442436456958734,2
1885,Ramzy Al-Duhami,1,0.625,50,6,0.75,0,2,15,166,0,0.35359849100925,2
1889,Khaled Al-Eid,1,0.4,50,0,0.0,0,6,15,165,0,0.13731398830712005,0
2025,Ahmed bin Hasher Al-Maktoum,1,0.625,90,2,0.25,0,0,33,271,2,0.2249305752050782,0
2112,Abdullah Al-Rashidi,1,0.925,38,8,1.0,0,3,33,275,0,0.3029250090589529,2
2134,Prince Abdullah Bin Moteb Al-Saud,1,0.30000000000000004,50,6,0.75,0,2,15,166,0,0.2222473794511618,2
2170,Hadi Soua'an Al-Somaily Jaadan,1,0.20000000000000007,50,0,0.0,0,6,2,23,1,0.16747531566219886,0
2210,Marina Alabau Neira,0,0.275,24,6,0.75,0,2,32,268,2,0.18660255332579123,2
2306,Ruslan Vladimirovich Albegov,1,0.2250000000000001,74,6,0.75,0,2,49,382,0,0.7733927261511803,2
2307,David Albelda Aliqus,1,0.20000000000000007,24,0,0.0,0,6,18,185,1,0.2454478913381355,0
2342,Nely Carla Alberto Francisca,0,0.3500000000000001,24,6,0.75,0,2,22,210,0,0.39160006917863155,2
2359,Islam-Beka Said-Tsilimovich Albiyev,1,0.10000000000000003,74,4,0.5,0,1,50,398,2,0.2883862245039026,1
2379,Brigitte Albrecht-Loretan,0,0.4,79,1,0.125,1,4,11,128,0,0.1986455991356907,0
2458,David Alegre Biosca,1,0.20000000000000007,24,4,0.5,0,1,23,211,1,0.23231209667273667,1
2460,Ramn Alegre Biosca,1,0.30000000000000004,24,4,0.5,0,1,23,211,1,0.289420649979791,1
2464,Jo Qesem Ayela Aleh,0,0.275,64,6,0.75,0,2,32,267,2,0.17012803461523573,2
2464,Jo Qesem Ayela Aleh,0,0.375,64,8,1.0,0,3,32,267,1,0.17012803461523573,2
2469,Virgilijus Alekna,1,0.32500000000000007,53,0,0.0,0,6,2,28,2,0.5099582844574985,0
2469,Virgilijus Alekna,1,0.42500000000000004,53,2,0.25,0,0,2,28,2,0.5099582844574985,0
2469,Virgilijus Alekna,1,0.525,53,4,0.5,0,1,2,28,0,0.5099582844574985,1
2497,Artur Aleksanyan,1,0.125,2,6,0.75,0,2,50,394,0,0.3663185051147889,2
2497,Artur Aleksanyan,1,0.2250000000000001,2,8,1.0,0,3,50,394,2,0.3663185051147889,2
2517,Milan Aleksi,1,0.275,78,6,0.75,0,2,48,373,0,0.3294422105261341,2
2517,Milan Aleksi,1,0.375,78,8,1.0,0,3,48,373,2,0.3294422105261341,2
2546,Alessandra dos Santos de Oliveira,0,0.275,10,0,0.0,0,6,5,65,0,0.20809176241062688,0
2559,Alex Sandro Lobo Silva,1,0.15000000000000002,10,6,0.75,0,2,18,185,1,0.15178586906363523,2
2583,Buffy-Lynne Alexander-Williams,0,0.20000000000000007,12,0,0.0,0,6,30,246,0,0.2785388900086474,0
2592,"Alexandre ""Alexandre Pato"" Rodrigues da Silva",1,0.07500000000000001,10,4,0.5,0,1,18,185,0,0.23248549253854722,1
2592,"Alexandre ""Alexandre Pato"" Rodrigues da Silva",1,0.17500000000000004,10,6,0.75,0,2,18,185,1,0.23248549253854722,2
2608,Yevgeny Vasilyevich Aleynikov,1,0.45000000000000007,74,0,0.0,0,6,33,270,0,0.35865491959202844,0
2610,Abdoul Razak Issoufou Alfaga,1,0.15000000000000002,62,8,1.0,0,3,43,356,1,0.20149069981504908,2
2639,Hans Daniel Alfredsson,1,0.45000000000000007,81,3,0.375,1,7,24,213,2,0.3831588729639943,1
